Wall time,Step,Value
1640344909.281843,0,0.0010000000474974513
1640344938.102452,1,0.0009528639493510127
1640344965.880152,2,0.0009079498122446239
1640344993.454999,3,0.0008651525713503361
1640345020.853804,4,0.0008243726915679872
1640345049.85817,5,0.0007855150615796447
1640345077.943293,6,0.0007484889356419444
1640345109.435009,7,0.0007132081664167345
1640345140.597586,8,0.0006795903900638223
1640345172.244777,9,0.0006475571426562965
1640345204.219502,10,0.000617033860180527
1640345235.929216,11,0.0005879493546672165
1640345267.170711,12,0.0005602356977760792
1640345295.882248,13,0.0005338284536264837
1640345325.590207,14,0.0005086658056825399
1640345357.644328,15,0.00048468937166035175
1640345389.444828,16,0.00046184303937479854
1640345421.450377,17,0.0004400735779199749
1640345453.525701,18,0.0004193302593193948
1640345483.81267,19,0.0003995647421106696
1640345512.770577,20,0.000380730809411034
1640345544.240587,21,0.0003627846308518201
1640345576.211957,22,0.0003456844133324921
1640345608.263951,23,0.0003293902555014938
1640345640.416799,24,0.00031386406044475734
1640345671.453709,25,0.0002990697685163468
1640345700.246297,26,0.0002849728043656796
1640345729.055822,27,0.0002715403097681701
1640345757.673474,28,0.00025874096900224686
1640345786.401316,29,0.00024654497974552214
1640345815.122731,30,0.0002349237765884027
1640345844.246995,31,0.0002238504239358008
1640345872.826304,32,0.00021329901937860996
1640345901.560747,33,0.0002032448974205181
1640345932.389473,34,0.00019366477499715984
1640345962.571986,35,0.0001845361985033378
1640345991.349507,36,0.00017583784938324243
1640346020.149587,37,0.0001675495586823672
1640346052.216943,38,0.00015965195780154318
1640346084.383578,39,2.281899105582852e-05
1640346116.550482,40,0.00014495592040475458
1640346148.908623,41,0.00013812330143991858
1640346180.909088,42,0.00013161271635908633
1640346212.973675,43,0.0001254090020665899
1640346243.39492,44,0.00011949772306252271
1640346272.057884,45,0.00011386507685529068
1640346299.931646,46,0.00010849793761735782
1640346327.852493,47,0.00010338375432183966
1640346356.491691,48,9.851065988186747e-05
1640346386.537246,49,9.386725287185982e-05
1640346417.477073,50,8.944272849475965e-05
1640346448.792447,51,8.522675489075482e-05
1640346480.793565,52,8.120950224110857e-05
1640346512.090255,53,1.1607242413447239e-05
1640346543.278589,54,7.373413245659322e-05
1640346573.62868,55,7.025860395515338e-05
1640346604.696048,56,6.694689363939688e-05
1640346635.460274,57,6.379128899425268e-05
1640346666.395386,58,9.117662557400763e-06
1640346698.23076,59,5.7919281971408054e-05
1640346729.838361,60,5.5189178965520114e-05
1640346761.031148,61,5.258778401184827e-05
1640346793.364221,62,5.010900349589065e-05
1640346824.479795,63,7.1620606831857e-06
1640346856.316322,64,4.549646473606117e-05
1640346889.061023,65,4.335194535087794e-05
1640346918.729301,66,4.1308492654934525e-05
1640346947.691375,67,3.9361377275781706e-05
1640346975.711041,68,3.750603718799539e-05
1640347004.701298,69,3.573815411073156e-05
1640347035.142381,70,3.405360257602297e-05
1640347066.316194,71,4.867268216912635e-06
1640347094.735045,72,3.091895268880762e-05
1640347123.737785,73,2.9461554731824435e-05
1640347155.772677,74,2.8072854547644965e-05
1640347187.851128,75,2.6749612516141497e-05
1640347219.190063,76,3.823311544692842e-06
1640347251.454104,77,2.4287306587211788e-05
1640347284.007102,78,2.3142500140238553e-05
1640347315.814712,79,2.20516503759427e-05
1640347345.803693,80,2.1012223442085087e-05
1640347375.478298,81,3.003268375323387e-06
1640347406.140446,82,1.9078042896580882e-05
1640347434.038787,83,1.817877455323469e-05
1640347461.596029,84,1.732190139591694e-05
1640347489.053065,85,1.650541707931552e-05
1640347516.436818,86,2.359112841077149e-06
1640347543.929254,87,1.498608889960451e-05
1640347571.335456,88,1.4279705283115618e-05
1640347598.79585,89,1.360661735816393e-05
1640347626.631545,90,1.2965255336894188e-05
1640347654.138936,91,1.8531186469772365e-06
1640347681.894939,92,1.1771800927817822e-05
1640347709.467877,93,1.1216925486223772e-05
1640347736.841274,94,1.0688198926800396e-05
1640347764.174943,95,1.0184400707657915e-05
1640347791.582219,96,1.4556522955899709e-06
1640347818.931726,97,9.246923582395539e-06
1640347846.316391,98,8.811060070001986e-06
1640347873.718953,99,8.395742952416185e-06
