Wall time,Step,Value
1640311926.238574,0,0.29717501997947693
1640311986.524347,1,0.48285001516342163
1640312046.910851,2,0.5868250131607056
1640312107.080788,3,0.6547000408172607
1640312166.971079,4,0.7056750059127808
1640312227.328938,5,0.7444250583648682
1640312287.496118,6,0.7751500606536865
1640312347.725637,7,0.7958250641822815
1640312407.776224,8,0.813325047492981
1640312467.831384,9,0.8260500431060791
1640312527.873833,10,0.8379250168800354
1640312588.151683,11,0.852275013923645
1640312648.528522,12,0.8597500324249268
1640312708.621716,13,0.8692500591278076
1640312768.774607,14,0.8783250451087952
1640312829.423259,15,0.8809500336647034
1640312890.260922,16,0.889750063419342
1640312950.569073,17,0.8932750225067139
1640313010.735362,18,0.9007500410079956
1640313071.171589,19,0.906000018119812
1640313131.484442,20,0.910800039768219
1640313192.019837,21,0.9151750206947327
1640313252.624818,22,0.919075071811676
1640313312.857375,23,0.921375036239624
1640313373.107945,24,0.9267750382423401
1640313433.535532,25,0.9304750561714172
1640313494.033875,26,0.932200014591217
1640313554.496647,27,0.9351750612258911
1640313614.628419,28,0.9385250210762024
1640313674.804561,29,0.9407500624656677
1640313735.424466,30,0.9446250200271606
1640313795.946235,31,0.9463250637054443
1640313856.302532,32,0.9503750205039978
1640313916.665014,33,0.950950026512146
1640313977.144396,34,0.952625036239624
1640314037.804113,35,0.955500066280365
1640314098.027029,36,0.9581250548362732
1640314158.31152,37,0.9592000246047974
1640314218.600778,38,0.9617750644683838
1640314278.98084,39,0.9639750719070435
1640314339.502194,40,0.964275062084198
1640314399.8037,41,0.9661000370979309
1640314460.075747,42,0.9673250317573547
1640314520.670586,43,0.9689000248908997
1640314581.134085,44,0.9705000519752502
1640314641.670904,45,0.9714750647544861
1640314702.193465,46,0.9729000329971313
1640314762.567481,47,0.9739750623703003
1640314823.333556,48,0.9762250185012817
1640314883.638057,49,0.9758000373840332
